,Index,TagName,TagType,IsVersion,IsMajorVersion
0,0,vuejs2,web-framework,True,True
1,1,google-cloud-firestore,database,False,False
2,2,json.net,web-framework,False,False
3,3,ionic3,mobile-sdk,True,True
4,4,mongodb-query,lang-concept,False,False
5,5,firebase-cloud-messaging,cloud-solution,False,False
6,6,pthreads,api,False,False
7,7,java-stream,lang-feature,False,False
8,8,google-cloud-functions,cloud-solution,False,False
9,9,axios,web-library,False,False
10,10,google-cloud-datastore,cloud-database,False,False
11,11,angular5,web-framework,True,True
12,12,linq-to-entities,lang-feature,False,False
13,13,pyqt5,api,True,True
14,14,wxpython,connector,False,False
15,15,retrofit2,framework,True,True
16,16,vue-component,lang-feature,False,False
17,17,azure-functions,cloud-solution,False,False
18,18,automapper,library,False,False
19,19,maven-3,build-solution,True,True
20,20,hql,language,False,False
21,21,racket,language,False,False
22,22,javamail,api,False,False
23,23,python-3.6,language,True,False
24,24,laravel-5.3,web-framework,True,False
25,25,laravel-5.4,web-framework,True,False
26,26,pymongo,database-connector,False,False
27,27,c++17,language,True,True
28,28,hyperledger-fabric,blockchain-solution,False,False
29,29,wmi,api,False,False
30,30,static-libraries,tech-concept,False,False
31,31,typeerror,tech-concept,False,False
32,32,pytorch,ml-framework,False,False
33,33,react-navigation,lang-feature,False,False
34,34,azure-cosmosdb,database-solution,False,False
35,35,unity-container,lang-feature,False,False
36,36,raspberry-pi3,hardware,True,True
37,37,antlr,framework,False,False
38,38,aws-api-gateway,cloud-solution,False,False
39,39,lstm,ml-concept,False,False
40,40,vuex,library,False,False
41,41,boto3,cloud-sdk,True,True
42,42,amazon-cognito,cloud-solution,False,False
43,43,ionic4,mobile-sdk,True,True
44,44,httpurlconnection,tech-concept,False,False
45,45,asp.net-core-webapi,api,False,False
46,46,angular-material2,library,True,True
47,47,symfony4,web-framework,True,True
48,48,azure-service-fabric,cloud-solution,False,False
49,49,postback,tech-concept,False,False
50,50,laravel-5.5,web-framework,True,False
51,51,angular2-forms,lang-concept,False,False
52,52,azure-pipelines,cloud-solution,False,False
53,53,tidyverse,library,False,False
54,54,vuetify.js,web-framework,False,False
55,55,ngrx,library,False,False
56,56,nsis,software-solution,False,False
57,57,angular2-services,lang-feature,False,False
58,58,xlsx,file-format,False,False
59,59,keycloak,security-framework,False,False
60,60,arkit,ar-framework,False,False
61,61,setuptools,library,False,False
62,62,roslyn,api,False,False
63,63,nuxt.js,web-framework,False,False
64,64,compiler-warnings,tech-concept,False,False
65,65,gcloud,lang-feature,False,False
66,66,okhttp,web-client,False,False
67,67,soap-client,web-client,False,False
68,68,emgucv,connector,False,False
69,69,gremlin,language,False,False
70,70,barcode-scanner,hardware,False,False
71,71,iis-express,server-solution,False,False
72,72,dask,library,False,False
73,73,typescript-typings,lang-feature,False,False
74,74,resttemplate,lang-feature,False,False
75,75,laravel-5.6,web-framework,False,False
76,76,paramiko,security-library,False,False
77,77,python-3.7,language,True,False
78,78,azure-application-insights,analytics-solution,False,False
79,79,tidyr,library,False,False
80,80,caliburn.micro,app-framework,False,False
81,81,indexeddb,lang-feature,False,False
82,82,react-hooks,lang-feature,False,False
83,83,powermock,library,False,False
84,84,amazon-sns,cloud-solution,False,False
85,85,bean-validation,framework,False,False
86,86,spring-webflux,library,False,False
87,87,guzzle,web-client,,
88,88,elf,file-format,False,False
89,89,gatsby,library,False,False
90,90,sha1,security-concept,False,False
91,91,statsmodels,library,False,False
92,92,slack-api,api,False,False
93,93,word2vec,ml-concept,False,False
94,94,poco,tech-concept,False,False
95,95,lex,compiler-solution,False,False
96,96,image-segmentation,tech-concept,False,False
97,97,scala-collections,library,False,False
98,98,webpack-2,build-solution,True,True
99,99,static-linking,tech-concept,False,False
100,100,node-red,connector,False,False
101,101,ini,file-format,False,False
102,102,glfw,library,False,False
103,103,firebase-analytics,cloud-solution,False,False
104,104,tensorboard,library,False,False
105,105,next.js,web-framework,False,False
106,106,redux-saga,connector,False,False
107,107,spacy,library,False,False
108,108,code-formatting,tech-concept,False,False
109,109,xgboost,library,False,False
110,110,jacoco,build-solution,False,False
111,111,large-files,tech-concept,False,False
112,112,gnupg,security-framework,False,False
113,113,owl-carousel,library,False,False
114,114,react-apollo,library,False,False
115,115,shapefile,format,False,False
116,116,azure-powershell,admin-solution,False,False
117,117,knex.js,database-framework,False,False
118,118,chef-recipe,lang-feature,False,False
119,119,netcdf,standard,False,False
120,120,kubectl,admin-solution,False,False
121,121,apache-zeppelin,analytics-solution,False,False
122,122,private-key,security-concept,False,False
123,123,android-livedata,library,False,False
124,124,p5.js,library,False,False
125,125,cache-control,tech-concept,False,False
126,126,server-sent-events,tech-concept,False,False
127,127,lubridate,library,False,False
128,128,azure-data-lake,cloud-solution,False,False
129,129,rubymine,ide,False,False
130,130,key-value-observing,tech-concept,False,False
131,131,cpan,wiki,False,False
132,132,androidx,library,False,False
133,133,ode,math-concept,False,False
134,134,gnome,ui,False,False
135,135,lattice,library,False,False
136,136,razor-pages,lang-feature,,
137,137,android-camera2,library,True,True
138,138,unit-of-work,tech-concept,False,False
139,139,keytool,library,False,False
140,140,webpack-4,build-solution,False,False
141,141,azure-iot-hub,cloud-solution,False,False
142,142,hmac,security-concept,False,False
143,143,apollo-client,library,False,False
144,144,traefik,connector,False,False
145,145,autofill,tech-concept,False,False
146,146,scikit-image,library,False,False
147,147,arcore,framework,False,False
148,148,epoch,tech-concept,False,False
149,149,junit5,test-framework,True,True
150,150,amazon-athena,cloud-solution,False,False
151,151,httpserver,tech-concept,False,False
152,152,visual-studio-2019,ide,True,True
153,153,rbenv,library,False,False
154,154,rdp,standard,False,False
155,155,diacritics,tech-concept,False,False
156,156,jsonpath,lang-concept,False,False
157,157,gradient-descent,math-concept,False,False
158,158,force-layout,lang-concept,False,False
159,159,mcrypt,security-library,False,False
160,160,gradle-plugin,build-solution,False,False
161,161,minikube,server-solution,False,False
162,162,java-11,language,True,True
163,163,glew,library,False,False
164,164,ionic-native,framework,False,False
165,165,csproj,file-format,False,False
166,166,sas-macro,meta-language,False,False
167,167,informatica-powercenter,data-solution,False,False
168,168,cpython,library,False,False
169,169,azure-api-management,cloud-solution,False,False
170,170,access-denied,tech-concept,False,False
171,171,react-native-navigation,library,False,False
172,172,google-cloud-ml,ml-cloud-solution,False,False
173,173,tfs2017,dev-solution,False,False
174,174,avx,language,False,False
175,175,autoencoder,ml-concept,False,False
176,176,dlib,library,False,False
177,177,keep-alive,tech-concept,False,False
178,178,tslint,lang-feature,False,False
179,179,ramda.js,library,False,False
180,180,autosuggest,tech-concept,False,False
181,181,android-keystore,lang-feature,False,False
182,182,virtuemart,software-solution,False,False
183,183,android-jetpack,library,False,False
184,184,apollo-server,server-solution,False,False
185,185,neon,language,False,False
186,186,sparkr,library,False,False
187,187,spring-cloud-config,cloud-solution,False,False
188,188,istio,management-solution,False,False
189,189,opensuse,os,False,False
190,190,arm-template,lang-feature,False,False
191,191,vue-cli,lang-feature,False,False
192,192,serial-communication,tech-concept,False,False
193,193,openshift-origin,container-solution,False,False
194,194,ambari,management-solution,False,False
195,195,docker-for-windows,container-solution,False,False
196,196,iphone-x,hardware,True,True
197,197,actioncable,library,False,False
198,198,aws-iot,connector,False,False
199,199,ngrx-store,library,False,False
200,200,azure-virtual-network,network-solution,False,False
201,201,azure-machine-learning-studio,ml-solution,False,False
202,202,web3,web-framework,False,False
203,203,google-sites,web-solution,False,False
204,204,monad-transformers,tech-concept,False,False
205,205,ngx-bootstrap,connector,False,False
206,206,mgo,connector,False,False
207,207,azure-stream-analytics,analytics-solution,False,False
208,208,postgresql-9.6,database,True,False
209,209,image-compression,tech-concept,False,False
210,210,dynamics-365,management-solution,False,False
211,211,php-7.2,language,True,False
212,212,laravel-mix,web-api,False,False
213,213,semantic-ui-react,library,False,False
214,214,http-authentication,tech-concept,False,False
215,215,google-play-console,admin-tool,False,False
216,216,grid-search,ml-concept,False,False
217,217,cucumber-java,collab-solution,False,False
218,218,amazon-sagemaker,ml-solution,False,False
219,219,data-fitting,math-concept,False,False
220,220,firedac,library,False,False
221,221,topojson,format,False,False
222,222,sinch,sdk,False,False
223,223,specs2,library,False,False
224,224,ngrx-effects,library,False,False
225,225,mxnet,ml-framework,False,False
226,226,automata,math-concept,False,False
227,227,aidl,language,False,False
228,228,eigenvalue,math-concept,False,False
229,229,node-sass,connector,False,False
230,230,hibernate-annotations,lang-feature,False,False
231,231,unix-socket,connector,False,False
232,232,angular-template,lang-feature,False,False
233,233,rvalue,tech-concept,False,False
234,234,react-native-firebase,library,False,False
235,235,kotlin-android-extensions,library,False,False
236,236,cntk,library,False,False
237,237,netlify,deployment-solution,False,False
238,238,powerapps,software-solution,False,False
239,239,tpl-dataflow,library,False,False
240,240,react-router-redux,library,False,False
241,241,kotlin-coroutines,library,False,False
242,242,web-push,web-api,False,False
243,243,numerical-integration,math-concept,False,False
244,244,coreml,ml-framework,False,False
245,245,bulma,web-framework,False,False
246,246,web3js,library,False,False
247,247,functional-dependencies,tech-concept,False,False
248,248,truffle,dev-solution,False,False
249,249,tensorflow.js,ml-library,False,False
250,250,azure-automation,management-solution,False,False
251,251,netstat,admin-tool,False,False
252,252,mapstruct,lang-feature,False,False
253,253,oidc,connector,False,False
254,254,managed-c++,deprecated-standard,False,False
255,255,ansible-inventory,solution-feature,False,False
256,256,google-vr,vr-framework,False,False
257,257,apostrophe,tech-concept,False,False
258,258,richtext,tech-concept,False,False
259,259,error-code,tech-concept,False,False
260,260,aws-codebuild,software-solution,False,False
261,261,yolo,library,False,False
262,262,powershell-ise,ide,False,False
263,263,zoho,company,False,False
264,264,azure-cognitive-services,ml-solution,False,False
265,265,django-2.0,web-framework,True,True
266,266,ngrok,web-proxy,False,False
267,267,partial-classes,tech-concept,False,False
268,268,uicontrol,framework-feature,False,False
269,269,mockmvc,framework-feature,False,False
270,270,frameset,lang-feature,False,False
271,271,amazon-lex,ml-solution,False,False
272,272,undertow,server-solution,False,False
273,273,memory-barriers,tech-concept,False,False
274,274,net-http,web-api,False,False
275,275,c#-7.0,language,True,True
276,276,joi,lang-feature,False,False
277,277,p-value,math-concept,False,False
278,278,watchdog,tech-concept,False,False
279,279,fixed-point,tech-concept,False,False
280,280,pundit,library,False,False
281,281,opcode,tech-concept,False,False
282,282,windows-firewall,security-software,False,False
283,283,android-instrumentation,lang-feature,False,False
284,284,vmware-workstation,vm-software,False,False
285,285,workbox,server-solution,False,False
286,286,algebraic-data-types,tech-concept,False,False
287,287,web-api-testing,tech-concept,False,False
288,288,surveymonkey,survey-service,False,False
289,289,replicaset,lang-concept,False,False
290,290,java-module,lang-feature,False,False
291,291,superagent,web-api,False,False
292,292,save-as,tech-concept,False,False
293,293,secret-key,security-concept,False,False
